Pos,No.,Driver,Time,Gap,Laps,GP
1,33,Max Verstappen VER,1:17.555,,21,Hungary
2,77,Valtteri Bottas BOT,1:17.616,+0.061s,26,Hungary
3,44,Lewis Hamilton HAM,1:17.722,+0.167s,25,Hungary
4,55,Carlos Sainz SAI,1:18.115,+0.560s,24,Hungary
5,10,Pierre Gasly GAS,1:18.181,+0.626s,27,Hungary
6,14,Fernando Alonso ALO,1:18.385,+0.830s,26,Hungary
7,16,Charles Leclerc LEC,1:18.391,+0.836s,23,Hungary
8,11,Sergio Perez PER,1:18.466,+0.911s,20,Hungary
9,4,Lando Norris NOR,1:18.649,+1.094s,26,Hungary
10,18,Lance Stroll STR,1:18.755,+1.200s,25,Hungary
11,31,Esteban Ocon OCO,1:18.765,+1.210s,26,Hungary
12,22,Yuki Tsunoda TSU,1:18.770,+1.215s,18,Hungary
13,5,Sebastian Vettel VET,1:18.989,+1.434s,22,Hungary
14,3,Daniel Ricciardo RIC,1:19.265,+1.710s,27,Hungary
15,63,George Russell RUS,1:19.724,+2.169s,24,Hungary
16,6,Nicholas Latifi LAT,1:19.824,+2.269s,24,Hungary
17,47,Mick Schumacher MSC,1:20.383,+2.828s,26,Hungary
18,88,Robert Kubica KUB,1:20.639,+3.084s,23,Hungary
19,9,Nikita Mazepin MAZ,1:20.992,+3.437s,23,Hungary
20,99,Antonio Giovinazzi GIO,1:21.889,+4.334s,5,Hungary
