Pos,No.,Driver,Time,Gap,Laps,GP
1,77,Valtteri Bottas BOT,1:17.012,,29,Hungary
2,44,Lewis Hamilton HAM,1:17.039,+0.027s,27,Hungary
3,33,Max Verstappen VER,1:17.310,+0.298s,24,Hungary
4,31,Esteban Ocon OCO,1:17.759,+0.747s,29,Hungary
5,11,Sergio Perez PER,1:17.824,+0.812s,23,Hungary
6,10,Pierre Gasly GAS,1:18.113,+1.101s,31,Hungary
7,14,Fernando Alonso ALO,1:18.169,+1.157s,27,Hungary
8,5,Sebastian Vettel VET,1:18.228,+1.216s,31,Hungary
9,4,Lando Norris NOR,1:18.313,+1.301s,25,Hungary
10,18,Lance Stroll STR,1:18.320,+1.308s,30,Hungary
11,16,Charles Leclerc LEC,1:18.370,+1.358s,30,Hungary
12,55,Carlos Sainz SAI,1:18.441,+1.429s,32,Hungary
13,3,Daniel Ricciardo RIC,1:18.737,+1.725s,26,Hungary
14,7,Kimi Räikkönen RAI,1:19.277,+2.265s,21,Hungary
15,63,George Russell RUS,1:19.292,+2.280s,29,Hungary
16,6,Nicholas Latifi LAT,1:19.479,+2.467s,30,Hungary
17,22,Yuki Tsunoda TSU,1:19.671,+2.659s,3,Hungary
18,47,Mick Schumacher MSC,1:19.817,+2.805s,29,Hungary
19,99,Antonio Giovinazzi GIO,1:20.186,+3.174s,28,Hungary
20,9,Nikita Mazepin MAZ,1:21.881,+4.869s,28,Hungary
