Pos,No.,Driver,Time,Gap,Laps,GP
1,33,Max Verstappen VER,1:05.910,,34,Styria
2,10,Pierre Gasly GAS,1:06.166,+0.256s,33,Styria
3,44,Lewis Hamilton HAM,1:06.332,+0.422s,32,Styria
4,77,Valtteri Bottas BOT,1:06.386,+0.476s,34,Styria
5,22,Yuki Tsunoda TSU,1:06.397,+0.487s,36,Styria
6,14,Fernando Alonso ALO,1:06.519,+0.609s,36,Styria
7,31,Esteban Ocon OCO,1:06.551,+0.641s,35,Styria
8,18,Lance Stroll STR,1:06.584,+0.674s,33,Styria
9,99,Antonio Giovinazzi GIO,1:06.614,+0.704s,29,Styria
10,16,Charles Leclerc LEC,1:06.629,+0.719s,36,Styria
11,55,Carlos Sainz SAI,1:06.630,+0.720s,33,Styria
12,3,Daniel Ricciardo RIC,1:06.669,+0.759s,38,Styria
13,11,Sergio Perez PER,1:06.696,+0.786s,33,Styria
14,5,Sebastian Vettel VET,1:06.708,+0.798s,32,Styria
15,63,George Russell RUS,1:06.848,+0.938s,32,Styria
16,4,Lando Norris NOR,1:06.861,+0.951s,35,Styria
17,6,Nicholas Latifi LAT,1:07.180,+1.270s,31,Styria
18,47,Mick Schumacher MSC,1:07.473,+1.563s,30,Styria
19,88,Robert Kubica KUB,1:07.823,+1.913s,30,Styria
20,9,Nikita Mazepin MAZ,1:08.081,+2.171s,31,Styria
