Pos,No.,Driver,Time,Gap,Laps,GP
1,44,Lewis Hamilton HAM,1:04.369,,19,Styria
2,33,Max Verstappen VER,1:04.573,+0.204s,16,Styria
3,77,Valtteri Bottas BOT,1:04.832,+0.463s,25,Styria
4,11,Sergio Perez PER,1:05.026,+0.657s,21,Styria
5,22,Yuki Tsunoda TSU,1:05.150,+0.781s,23,Styria
6,10,Pierre Gasly GAS,1:05.298,+0.929s,22,Styria
7,16,Charles Leclerc LEC,1:05.340,+0.971s,21,Styria
8,14,Fernando Alonso ALO,1:05.400,+1.031s,24,Styria
9,18,Lance Stroll STR,1:05.445,+1.076s,18,Styria
10,5,Sebastian Vettel VET,1:05.492,+1.123s,20,Styria
11,99,Antonio Giovinazzi GIO,1:05.556,+1.187s,24,Styria
12,31,Esteban Ocon OCO,1:05.676,+1.307s,22,Styria
13,55,Carlos Sainz SAI,1:05.698,+1.329s,22,Styria
14,63,George Russell RUS,1:05.863,+1.494s,23,Styria
15,7,Kimi Räikkönen RAI,1:05.942,+1.573s,25,Styria
16,47,Mick Schumacher MSC,1:05.992,+1.623s,24,Styria
17,3,Daniel Ricciardo RIC,1:06.116,+1.747s,20,Styria
18,6,Nicholas Latifi LAT,1:06.119,+1.750s,22,Styria
19,4,Lando Norris NOR,1:06.654,+2.285s,19,Styria
20,9,Nikita Mazepin MAZ,1:06.692,+2.323s,22,Styria
