Pos,No.,Driver,Time,Gap,Laps,GP
1,33,Max Verstappen VER,1:29.902,,23,Great Britain
2,16,Charles Leclerc LEC,1:30.277,+0.375s,30,Great Britain
3,55,Carlos Sainz SAI,1:30.507,+0.605s,29,Great Britain
4,31,Esteban Ocon OCO,1:30.707,+0.805s,31,Great Britain
5,11,Sergio Perez PER,1:30.800,+0.898s,27,Great Britain
6,4,Lando Norris NOR,1:31.030,+1.128s,24,Great Britain
7,3,Daniel Ricciardo RIC,1:31.034,+1.132s,23,Great Britain
8,44,Lewis Hamilton HAM,1:31.131,+1.229s,28,Great Britain
9,77,Valtteri Bottas BOT,1:31.180,+1.278s,27,Great Britain
10,10,Pierre Gasly GAS,1:31.188,+1.286s,31,Great Britain
11,63,George Russell RUS,1:31.237,+1.335s,24,Great Britain
12,99,Antonio Giovinazzi GIO,1:31.263,+1.361s,29,Great Britain
13,14,Fernando Alonso ALO,1:31.289,+1.387s,27,Great Britain
14,7,Kimi Räikkönen RAI,1:31.328,+1.426s,26,Great Britain
15,6,Nicholas Latifi LAT,1:31.337,+1.435s,30,Great Britain
16,22,Yuki Tsunoda TSU,1:31.404,+1.502s,32,Great Britain
17,5,Sebastian Vettel VET,1:31.593,+1.691s,34,Great Britain
18,18,Lance Stroll STR,1:32.041,+2.139s,31,Great Britain
19,9,Nikita Mazepin MAZ,1:32.474,+2.572s,31,Great Britain
20,47,Mick Schumacher MSC,1:34.017,+4.115s,28,Great Britain
