Pos,No.,Driver,Time,Gap,Laps,GP
1,33,Max Verstappen VER,1:11.294,,19,Monaco
2,55,Carlos Sainz SAI,1:11.341,+0.047s,28,Monaco
3,16,Charles Leclerc LEC,1:11.552,+0.258s,27,Monaco
4,77,Valtteri Bottas BOT,1:11.765,+0.471s,21,Monaco
5,11,Sergio Perez PER,1:11.817,+0.523s,18,Monaco
6,4,Lando Norris NOR,1:11.988,+0.694s,20,Monaco
7,44,Lewis Hamilton HAM,1:12.020,+0.726s,20,Monaco
8,7,Kimi Räikkönen RAI,1:12.298,+1.004s,25,Monaco
9,10,Pierre Gasly GAS,1:12.357,+1.063s,28,Monaco
10,5,Sebastian Vettel VET,1:12.537,+1.243s,24,Monaco
11,99,Antonio Giovinazzi GIO,1:12.539,+1.245s,21,Monaco
12,18,Lance Stroll STR,1:12.700,+1.406s,22,Monaco
13,3,Daniel Ricciardo RIC,1:12.959,+1.665s,25,Monaco
14,47,Mick Schumacher MSC,1:13.139,+1.845s,21,Monaco
15,14,Fernando Alonso ALO,1:13.329,+2.035s,19,Monaco
16,9,Nikita Mazepin MAZ,1:13.390,+2.096s,20,Monaco
17,63,George Russell RUS,1:13.447,+2.153s,29,Monaco
18,6,Nicholas Latifi LAT,1:13.475,+2.181s,22,Monaco
19,22,Yuki Tsunoda TSU,1:13.522,+2.228s,30,Monaco
20,31,Esteban Ocon OCO,1:13.614,+2.320s,18,Monaco
