Pos,No.,Driver,Time,Gap,Laps,GP
1,11,Sergio Perez PER,1:12.487,,36,Monaco
2,55,Carlos Sainz SAI,1:12.606,+0.119s,32,Monaco
3,33,Max Verstappen VER,1:12.648,+0.161s,39,Monaco
4,10,Pierre Gasly GAS,1:12.929,+0.442s,37,Monaco
5,44,Lewis Hamilton HAM,1:12.995,+0.508s,34,Monaco
6,77,Valtteri Bottas BOT,1:13.131,+0.644s,36,Monaco
7,4,Lando Norris NOR,1:13.236,+0.749s,31,Monaco
8,5,Sebastian Vettel VET,1:13.732,+1.245s,33,Monaco
9,22,Yuki Tsunoda TSU,1:13.746,+1.259s,39,Monaco
10,7,Kimi Räikkönen RAI,1:14.081,+1.594s,31,Monaco
11,18,Lance Stroll STR,1:14.090,+1.603s,33,Monaco
12,99,Antonio Giovinazzi GIO,1:14.106,+1.619s,27,Monaco
13,14,Fernando Alonso ALO,1:14.205,+1.718s,37,Monaco
14,6,Nicholas Latifi LAT,1:14.268,+1.781s,41,Monaco
15,3,Daniel Ricciardo RIC,1:14.281,+1.794s,36,Monaco
16,31,Esteban Ocon OCO,1:14.320,+1.833s,37,Monaco
17,9,Nikita Mazepin MAZ,1:14.616,+2.129s,33,Monaco
18,47,Mick Schumacher MSC,1:14.801,+2.314s,35,Monaco
19,63,George Russell RUS,1:14.840,+2.353s,35,Monaco
20,16,Charles Leclerc LEC,1:19.618,+7.131s,4,Monaco
