Pos,No.,Driver,Time,Gap,Laps,GP
1,33,Max Verstappen VER,1:31.394,,12,Bahrain
2,77,Valtteri Bottas BOT,1:31.692,+0.298s,17,Bahrain
3,4,Lando Norris NOR,1:31.897,+0.503s,20,Bahrain
4,44,Lewis Hamilton HAM,1:31.921,+0.527s,15,Bahrain
5,16,Charles Leclerc LEC,1:31.993,+0.599s,14,Bahrain
6,11,Sergio Perez PER,1:32.071,+0.677s,15,Bahrain
7,10,Pierre Gasly GAS,1:32.195,+0.801s,23,Bahrain
8,55,Carlos Sainz SAI,1:32.366,+0.972s,15,Bahrain
9,3,Daniel Ricciardo RIC,1:32.434,+1.040s,20,Bahrain
10,99,Antonio Giovinazzi GIO,1:32.786,+1.392s,16,Bahrain
11,7,Kimi Räikkönen RAI,1:33.134,+1.740s,18,Bahrain
12,5,Sebastian Vettel VET,1:33.157,+1.763s,21,Bahrain
13,18,Lance Stroll STR,1:33.233,+1.839s,20,Bahrain
14,22,Yuki Tsunoda TSU,1:33.329,+1.935s,21,Bahrain
15,31,Esteban Ocon OCO,1:33.528,+2.134s,20,Bahrain
16,14,Fernando Alonso ALO,1:33.872,+2.478s,18,Bahrain
17,63,George Russell RUS,1:34.127,+2.733s,22,Bahrain
18,6,Nicholas Latifi LAT,1:34.340,+2.946s,22,Bahrain
19,47,Mick Schumacher MSC,1:34.501,+3.107s,16,Bahrain
20,9,Nikita Mazepin MAZ,1:34.975,+3.581s,16,Bahrain
