Pos,No.,Driver,Time,Gap,Laps,GP
1,33,Max Verstappen VER,1:30.577,,11,Bahrain
2,44,Lewis Hamilton HAM,1:31.316,+0.739s,14,Bahrain
3,10,Pierre Gasly GAS,1:31.583,+1.006s,13,Bahrain
4,77,Valtteri Bottas BOT,1:31.855,+1.278s,16,Bahrain
5,11,Sergio Perez PER,1:31.908,+1.331s,11,Bahrain
6,55,Carlos Sainz SAI,1:32.108,+1.531s,16,Bahrain
7,7,Kimi Räikkönen RAI,1:32.224,+1.647s,15,Bahrain
8,31,Esteban Ocon OCO,1:32.423,+1.846s,11,Bahrain
9,18,Lance Stroll STR,1:32.431,+1.854s,13,Bahrain
10,3,Daniel Ricciardo RIC,1:32.477,+1.900s,12,Bahrain
11,16,Charles Leclerc LEC,1:32.482,+1.905s,17,Bahrain
12,99,Antonio Giovinazzi GIO,1:32.500,+1.923s,11,Bahrain
13,22,Yuki Tsunoda TSU,1:32.709,+2.132s,15,Bahrain
14,5,Sebastian Vettel VET,1:32.755,+2.178s,15,Bahrain
15,14,Fernando Alonso ALO,1:32.820,+2.243s,15,Bahrain
16,4,Lando Norris NOR,1:32.860,+2.283s,10,Bahrain
17,63,George Russell RUS,1:33.323,+2.746s,14,Bahrain
18,47,Mick Schumacher MSC,1:33.422,+2.845s,14,Bahrain
19,9,Nikita Mazepin MAZ,1:33.622,+3.045s,14,Bahrain
20,6,Nicholas Latifi LAT,1:33.959,+3.382s,16,Bahrain
