Pos,No.,Driver,Time,Gap,Laps,GP
1,33,Max Verstappen VER,1:18.489,,21,Portugal
2,44,Lewis Hamilton HAM,1:18.725,+0.236s,21,Portugal
3,77,Valtteri Bottas BOT,1:18.820,+0.331s,19,Portugal
4,11,Sergio Perez PER,1:18.840,+0.351s,25,Portugal
5,31,Esteban Ocon OCO,1:18.860,+0.371s,19,Portugal
6,16,Charles Leclerc LEC,1:19.001,+0.512s,23,Portugal
7,55,Carlos Sainz SAI,1:19.050,+0.561s,24,Portugal
8,4,Lando Norris NOR,1:19.272,+0.783s,18,Portugal
9,10,Pierre Gasly GAS,1:19.374,+0.885s,26,Portugal
10,7,Kimi Räikkönen RAI,1:19.415,+0.926s,26,Portugal
11,22,Yuki Tsunoda TSU,1:19.485,+0.996s,25,Portugal
12,3,Daniel Ricciardo RIC,1:19.582,+1.093s,19,Portugal
13,99,Antonio Giovinazzi GIO,1:19.588,+1.099s,23,Portugal
14,14,Fernando Alonso ALO,1:19.949,+1.460s,20,Portugal
15,47,Mick Schumacher MSC,1:20.033,+1.544s,22,Portugal
16,18,Lance Stroll STR,1:20.090,+1.601s,17,Portugal
17,63,George Russell RUS,1:20.127,+1.638s,18,Portugal
18,5,Sebastian Vettel VET,1:20.214,+1.725s,21,Portugal
19,6,Nicholas Latifi LAT,1:20.681,+2.192s,19,Portugal
20,9,Nikita Mazepin MAZ,1:20.690,+2.201s,20,Portugal
