Pos,No.,Driver,Time,Gap,Laps,GP
1,77,Valtteri Bottas BOT,1:19.648,,31,Portugal
2,33,Max Verstappen VER,1:19.673,+0.025s,23,Portugal
3,11,Sergio Perez PER,1:19.846,+0.198s,22,Portugal
4,16,Charles Leclerc LEC,1:19.884,+0.236s,27,Portugal
5,44,Lewis Hamilton HAM,1:19.967,+0.319s,32,Portugal
6,10,Pierre Gasly GAS,1:20.444,+0.796s,31,Portugal
7,63,George Russell RUS,1:20.529,+0.881s,29,Portugal
8,4,Lando Norris NOR,1:20.635,+0.987s,26,Portugal
9,55,Carlos Sainz SAI,1:20.680,+1.032s,27,Portugal
10,31,Esteban Ocon OCO,1:20.800,+1.152s,27,Portugal
11,18,Lance Stroll STR,1:20.894,+1.246s,29,Portugal
12,3,Daniel Ricciardo RIC,1:20.995,+1.347s,31,Portugal
13,22,Yuki Tsunoda TSU,1:21.090,+1.442s,28,Portugal
14,14,Fernando Alonso ALO,1:21.303,+1.655s,31,Portugal
15,7,Kimi Räikkönen RAI,1:21.381,+1.733s,25,Portugal
16,5,Sebastian Vettel VET,1:21.405,+1.757s,31,Portugal
17,98,Callum Ilott ILO,1:21.806,+2.158s,21,Portugal
18,47,Mick Schumacher MSC,1:21.939,+2.291s,29,Portugal
19,6,Nicholas Latifi LAT,1:22.293,+2.645s,29,Portugal
20,9,Nikita Mazepin MAZ,1:24.224,+4.576s,29,Portugal
