Pos,No.,Driver,Time,Gap,Laps,GP
1,44,Lewis Hamilton HAM,1:18.170,,32,Spain
2,77,Valtteri Bottas BOT,1:18.309,+0.139s,31,Spain
3,16,Charles Leclerc LEC,1:18.335,+0.165s,28,Spain
4,31,Esteban Ocon OCO,1:18.466,+0.296s,29,Spain
5,14,Fernando Alonso ALO,1:18.518,+0.348s,30,Spain
6,10,Pierre Gasly GAS,1:18.593,+0.423s,32,Spain
7,22,Yuki Tsunoda TSU,1:18.619,+0.449s,30,Spain
8,55,Carlos Sainz SAI,1:18.674,+0.504s,30,Spain
9,33,Max Verstappen VER,1:18.785,+0.615s,26,Spain
10,11,Sergio Perez PER,1:18.918,+0.748s,23,Spain
11,5,Sebastian Vettel VET,1:18.947,+0.777s,30,Spain
12,4,Lando Norris NOR,1:19.092,+0.922s,28,Spain
13,99,Antonio Giovinazzi GIO,1:19.122,+0.952s,29,Spain
14,18,Lance Stroll STR,1:19.134,+0.964s,29,Spain
15,3,Daniel Ricciardo RIC,1:19.195,+1.025s,28,Spain
16,7,Kimi Räikkönen RAI,1:19.213,+1.043s,30,Spain
17,63,George Russell RUS,1:19.957,+1.787s,29,Spain
18,6,Nicholas Latifi LAT,1:20.046,+1.876s,26,Spain
19,47,Mick Schumacher MSC,1:20.326,+2.156s,30,Spain
20,9,Nikita Mazepin MAZ,1:20.753,+2.583s,27,Spain
