Pos,No.,Driver,Time,Gap,Laps,GP
1,77,Valtteri Bottas BOT,1:18.504,,25,Spain
2,33,Max Verstappen VER,1:18.537,+0.033s,19,Spain
3,44,Lewis Hamilton HAM,1:18.627,+0.123s,22,Spain
4,4,Lando Norris NOR,1:18.944,+0.440s,24,Spain
5,16,Charles Leclerc LEC,1:18.996,+0.492s,25,Spain
6,55,Carlos Sainz SAI,1:19.020,+0.516s,22,Spain
7,10,Pierre Gasly GAS,1:19.062,+0.558s,26,Spain
8,5,Sebastian Vettel VET,1:19.234,+0.730s,24,Spain
9,11,Sergio Perez PER,1:19.349,+0.845s,17,Spain
10,18,Lance Stroll STR,1:19.429,+0.925s,25,Spain
11,22,Yuki Tsunoda TSU,1:19.669,+1.165s,22,Spain
12,31,Esteban Ocon OCO,1:19.681,+1.177s,25,Spain
13,99,Antonio Giovinazzi GIO,1:19.694,+1.190s,23,Spain
14,3,Daniel Ricciardo RIC,1:19.732,+1.228s,24,Spain
15,14,Fernando Alonso ALO,1:19.950,+1.446s,25,Spain
16,6,Nicholas Latifi LAT,1:20.270,+1.766s,25,Spain
17,45,Roy Nissany NIS,1:20.700,+2.196s,23,Spain
18,47,Mick Schumacher MSC,1:20.766,+2.262s,23,Spain
19,88,Robert Kubica KUB,1:21.887,+3.383s,13,Spain
20,9,Nikita Mazepin MAZ,1:21.976,+3.472s,22,Spain
