Pos,No.,Driver,Time,Gap,Laps,GP
1,33,Max Verstappen VER,1:31.300,,11,France
2,77,Valtteri Bottas BOT,1:32.047,+0.747s,14,France
3,55,Carlos Sainz SAI,1:32.195,+0.895s,17,France
4,11,Sergio Perez PER,1:32.238,+0.938s,15,France
5,44,Lewis Hamilton HAM,1:32.266,+0.966s,15,France
6,4,Lando Norris NOR,1:32.336,+1.036s,14,France
7,14,Fernando Alonso ALO,1:32.624,+1.324s,15,France
8,31,Esteban Ocon OCO,1:32.681,+1.381s,16,France
9,10,Pierre Gasly GAS,1:32.707,+1.407s,16,France
10,3,Daniel Ricciardo RIC,1:32.759,+1.459s,14,France
11,16,Charles Leclerc LEC,1:32.820,+1.520s,15,France
12,99,Antonio Giovinazzi GIO,1:33.017,+1.717s,17,France
13,18,Lance Stroll STR,1:33.051,+1.751s,15,France
14,5,Sebastian Vettel VET,1:33.200,+1.900s,18,France
15,7,Kimi Räikkönen RAI,1:33.328,+2.028s,16,France
16,63,George Russell RUS,1:33.364,+2.064s,16,France
17,22,Yuki Tsunoda TSU,1:33.424,+2.124s,17,France
18,6,Nicholas Latifi LAT,1:33.584,+2.284s,16,France
19,47,Mick Schumacher MSC,1:34.143,+2.843s,14,France
20,9,Nikita Mazepin MAZ,1:34.642,+3.342s,13,France
