Pos,No.,Driver,Time,Gap,Laps,GP
1,77,Valtteri Bottas BOT,1:33.448,,24,France
2,44,Lewis Hamilton HAM,1:33.783,+0.335s,21,France
3,33,Max Verstappen VER,1:33.880,+0.432s,23,France
4,11,Sergio Perez PER,1:34.193,+0.745s,25,France
5,31,Esteban Ocon OCO,1:34.329,+0.881s,25,France
6,3,Daniel Ricciardo RIC,1:34.644,+1.196s,24,France
7,14,Fernando Alonso ALO,1:34.693,+1.245s,21,France
8,10,Pierre Gasly GAS,1:34.699,+1.251s,20,France
9,4,Lando Norris NOR,1:34.707,+1.259s,21,France
10,22,Yuki Tsunoda TSU,1:34.847,+1.399s,22,France
11,16,Charles Leclerc LEC,1:34.950,+1.502s,24,France
12,99,Antonio Giovinazzi GIO,1:35.116,+1.668s,23,France
13,7,Kimi Räikkönen RAI,1:35.135,+1.687s,20,France
14,18,Lance Stroll STR,1:35.275,+1.827s,23,France
15,5,Sebastian Vettel VET,1:35.289,+1.841s,16,France
16,55,Carlos Sainz SAI,1:35.342,+1.894s,24,France
17,6,Nicholas Latifi LAT,1:35.612,+2.164s,22,France
18,9,Nikita Mazepin MAZ,1:36.651,+3.203s,24,France
19,47,Mick Schumacher MSC,1:37.329,+3.881s,14,France
20,45,Roy Nissany NIS,1:37.881,+4.433s,16,France
