Pos,No.,Driver,Time,Gap,Laps,GP
1,44,Lewis Hamilton HAM,1:04.523,,31,Austria
2,77,Valtteri Bottas BOT,1:04.712,+0.189s,34,Austria
3,33,Max Verstappen VER,1:04.740,+0.217s,35,Austria
4,18,Lance Stroll STR,1:05.139,+0.616s,33,Austria
5,5,Sebastian Vettel VET,1:05.268,+0.745s,37,Austria
6,22,Yuki Tsunoda TSU,1:05.356,+0.833s,37,Austria
7,10,Pierre Gasly GAS,1:05.379,+0.856s,38,Austria
8,14,Fernando Alonso ALO,1:05.393,+0.870s,34,Austria
9,4,Lando Norris NOR,1:05.466,+0.943s,34,Austria
10,99,Antonio Giovinazzi GIO,1:05.511,+0.988s,32,Austria
11,11,Sergio Perez PER,1:05.516,+0.993s,39,Austria
12,31,Esteban Ocon OCO,1:05.527,+1.004s,36,Austria
13,55,Carlos Sainz SAI,1:05.620,+1.097s,37,Austria
14,7,Kimi Räikkönen RAI,1:05.624,+1.101s,33,Austria
15,3,Daniel Ricciardo RIC,1:05.698,+1.175s,32,Austria
16,16,Charles Leclerc LEC,1:05.708,+1.185s,33,Austria
17,63,George Russell RUS,1:05.819,+1.296s,36,Austria
18,47,Mick Schumacher MSC,1:05.911,+1.388s,35,Austria
19,6,Nicholas Latifi LAT,1:06.014,+1.491s,38,Austria
20,9,Nikita Mazepin MAZ,1:06.173,+1.650s,35,Austria
