Pos,No.,Driver,Time,Gap,Laps,GP
1,33,Max Verstappen VER,1:14.958,,18,Emilia Romagna
2,4,Lando Norris NOR,1:15.414,+0.456s,17,Emilia Romagna
3,44,Lewis Hamilton HAM,1:15.515,+0.557s,18,Emilia Romagna
4,11,Sergio Perez PER,1:15.551,+0.593s,18,Emilia Romagna
5,16,Charles Leclerc LEC,1:15.738,+0.780s,21,Emilia Romagna
6,10,Pierre Gasly GAS,1:15.890,+0.932s,22,Emilia Romagna
7,55,Carlos Sainz SAI,1:15.908,+0.950s,21,Emilia Romagna
8,77,Valtteri Bottas BOT,1:15.908,+0.950s,19,Emilia Romagna
9,14,Fernando Alonso ALO,1:16.186,+1.228s,20,Emilia Romagna
10,31,Esteban Ocon OCO,1:16.228,+1.270s,20,Emilia Romagna
11,22,Yuki Tsunoda TSU,1:16.230,+1.272s,20,Emilia Romagna
12,18,Lance Stroll STR,1:16.245,+1.287s,19,Emilia Romagna
13,3,Daniel Ricciardo RIC,1:16.253,+1.295s,17,Emilia Romagna
14,5,Sebastian Vettel VET,1:16.389,+1.431s,19,Emilia Romagna
15,63,George Russell RUS,1:16.427,+1.469s,20,Emilia Romagna
16,47,Mick Schumacher MSC,1:16.448,+1.490s,22,Emilia Romagna
17,6,Nicholas Latifi LAT,1:16.537,+1.579s,15,Emilia Romagna
18,99,Antonio Giovinazzi GIO,1:16.612,+1.654s,22,Emilia Romagna
19,7,Kimi Räikkönen RAI,1:16.803,+1.845s,23,Emilia Romagna
20,9,Nikita Mazepin MAZ,1:17.398,+2.440s,23,Emilia Romagna
