Pos,No.,Driver,Time,Gap,Laps,GP
1,77,Valtteri Bottas BOT,1:15.551,,25,Emilia Romagna
2,44,Lewis Hamilton HAM,1:15.561,+0.010s,26,Emilia Romagna
3,10,Pierre Gasly GAS,1:15.629,+0.078s,30,Emilia Romagna
4,55,Carlos Sainz SAI,1:15.834,+0.283s,30,Emilia Romagna
5,16,Charles Leclerc LEC,1:16.371,+0.820s,28,Emilia Romagna
6,11,Sergio Perez PER,1:16.411,+0.860s,25,Emilia Romagna
7,22,Yuki Tsunoda TSU,1:16.419,+0.868s,26,Emilia Romagna
8,4,Lando Norris NOR,1:16.485,+0.934s,23,Emilia Romagna
9,99,Antonio Giovinazzi GIO,1:16.513,+0.962s,25,Emilia Romagna
10,18,Lance Stroll STR,1:16.737,+1.186s,25,Emilia Romagna
11,31,Esteban Ocon OCO,1:16.817,+1.266s,27,Emilia Romagna
12,6,Nicholas Latifi LAT,1:16.823,+1.272s,29,Emilia Romagna
13,14,Fernando Alonso ALO,1:16.835,+1.284s,27,Emilia Romagna
14,33,Max Verstappen VER,1:16.999,+1.448s,5,Emilia Romagna
15,5,Sebastian Vettel VET,1:17.092,+1.541s,27,Emilia Romagna
16,63,George Russell RUS,1:17.179,+1.628s,31,Emilia Romagna
17,7,Kimi Räikkönen RAI,1:17.273,+1.722s,27,Emilia Romagna
18,3,Daniel Ricciardo RIC,1:17.281,+1.730s,24,Emilia Romagna
19,47,Mick Schumacher MSC,1:17.350,+1.799s,28,Emilia Romagna
20,9,Nikita Mazepin MAZ,1:17.857,+2.306s,16,Emilia Romagna
