Pos,No.,Driver,Time,Gap,Laps,GP
1,11,Sergio Perez PER,1:42.115,,22,Azerbaijan
2,33,Max Verstappen VER,1:42.216,+0.101s,23,Azerbaijan
3,55,Carlos Sainz SAI,1:42.243,+0.128s,24,Azerbaijan
4,16,Charles Leclerc LEC,1:42.436,+0.321s,22,Azerbaijan
5,10,Pierre Gasly GAS,1:42.534,+0.419s,26,Azerbaijan
6,14,Fernando Alonso ALO,1:42.693,+0.578s,24,Azerbaijan
7,99,Antonio Giovinazzi GIO,1:42.941,+0.826s,25,Azerbaijan
8,4,Lando Norris NOR,1:43.018,+0.903s,24,Azerbaijan
9,31,Esteban Ocon OCO,1:43.020,+0.905s,23,Azerbaijan
10,22,Yuki Tsunoda TSU,1:43.130,+1.015s,25,Azerbaijan
11,44,Lewis Hamilton HAM,1:43.156,+1.041s,24,Azerbaijan
12,7,Kimi Räikkönen RAI,1:43.220,+1.105s,23,Azerbaijan
13,3,Daniel Ricciardo RIC,1:43.298,+1.183s,23,Azerbaijan
14,18,Lance Stroll STR,1:43.812,+1.697s,21,Azerbaijan
15,5,Sebastian Vettel VET,1:43.881,+1.766s,22,Azerbaijan
16,77,Valtteri Bottas BOT,1:44.184,+2.069s,23,Azerbaijan
17,63,George Russell RUS,1:44.557,+2.442s,24,Azerbaijan
18,9,Nikita Mazepin MAZ,1:45.563,+3.448s,23,Azerbaijan
19,47,Mick Schumacher MSC,1:46.095,+3.980s,12,Azerbaijan
20,6,Nicholas Latifi LAT,1:46.983,+4.868s,5,Azerbaijan
