Pos,No.,Driver,Time,Gap,Laps,GP
1,33,Max Verstappen VER,1:43.184,,19,Azerbaijan
2,16,Charles Leclerc LEC,1:43.227,+0.043s,20,Azerbaijan
3,55,Carlos Sainz SAI,1:43.521,+0.337s,20,Azerbaijan
4,11,Sergio Perez PER,1:43.630,+0.446s,17,Azerbaijan
5,3,Daniel Ricciardo RIC,1:43.732,+0.548s,25,Azerbaijan
6,10,Pierre Gasly GAS,1:43.757,+0.573s,23,Azerbaijan
7,44,Lewis Hamilton HAM,1:43.893,+0.709s,20,Azerbaijan
8,4,Lando Norris NOR,1:43.996,+0.812s,20,Azerbaijan
9,14,Fernando Alonso ALO,1:44.777,+1.593s,25,Azerbaijan
10,77,Valtteri Bottas BOT,1:44.891,+1.707s,20,Azerbaijan
11,7,Kimi Räikkönen RAI,1:44.943,+1.759s,18,Azerbaijan
12,99,Antonio Giovinazzi GIO,1:45.092,+1.908s,20,Azerbaijan
13,18,Lance Stroll STR,1:45.234,+2.050s,23,Azerbaijan
14,22,Yuki Tsunoda TSU,1:45.384,+2.200s,25,Azerbaijan
15,5,Sebastian Vettel VET,1:45.415,+2.231s,24,Azerbaijan
16,31,Esteban Ocon OCO,1:45.446,+2.262s,23,Azerbaijan
17,63,George Russell RUS,1:45.452,+2.268s,24,Azerbaijan
18,6,Nicholas Latifi LAT,1:45.774,+2.590s,22,Azerbaijan
19,47,Mick Schumacher MSC,1:46.899,+3.715s,20,Azerbaijan
20,9,Nikita Mazepin MAZ,1:46.945,+3.761s,18,Azerbaijan
